Article Name,Date,Event Type,Country,Link
Kurt Cobain,20/2,Birthday,America,https://en.wikipedia.org/wiki/Kurt_Cobain
Britney Spears,19/2,Biographic Movie Release,America,https://www.imdb.com/title/tt6578002/
Bob Marley,6/2,Birthday,Jamaica,https://calendar.songfacts.com/february/6/3299
John Adams,20/2,Historical Event,America,https://www.masshist.org/digitaladams/archive/doc?id=L17930222aa
Space Shuttle Columbia disaster,1/2,Anniversary of the event,America,https://en.wikipedia.org/wiki/Space_Shuttle_Columbia_disaster
Evan Rachel Wood,9/1,Golden Globe Ceremony,America,https://www.telegraph.co.United Kingdom/fashion/events/evan-rachel-wood-inspires-suit-golden-globes-didnt-wear-dress/
Sharon Tate,4/1,Interview by her Sister,United Kingdom,https://www.latimes.com/opinion/op-ed/la-oe-tate-krenwinkel-parole-hearing-20170104-story.html
Down syndrome,22/3,"World Down Syndrome Day, 21 - 22 March 2017, Geneva ; teenager with Down's syndrome addressed the UN in Geneva",Switzerland,http://www.bbc.co.United Kingdom/newsbeat/article/39339338/downs-syndrome-teenager-addresses-the-un-in-geneva
Bette Davis,6/3,"BBC Article Regarding new TV series, that looks at Joan Crawford and Bette Davis’ legendary hatred for each other",America,http://www.bbc.com/culture/story/20170306-behind-hollywoods-biggest-feud
Dr. Seuss,2/3,Dr. Seuss Birthday,America,https://keepincalendar.com/March-2/Dr.%20Seuss%20Day/61
Rosetta Stone,18/3,Rosetta Stone is laying off 17 percent of its workforce,America,https://www.bizjournals.com/washington/blog/techflash/2016/03/rosetta-stone-is-laying-off-17-percent-of-its.html
Albert Einstein,14/3,Birthday,Germany,http://ncsm.gov.in/born-on-march-14-you-share-your-birthday-with-albert-einstein/
J. K. Rowling,29/3,Famours Tweet,United Kingdom,https://twitter.com/jk_rowling/status/847012362360180736?lang=en
Floyd Mayweather Jr.,12/3,Date for Floyd Mayweather vs. Conor McGregor,America,https://www.flocombat.com/articles/5062516-las-vegas-venue-holds-date-for-floyd-mayweather-vs-conor-mcgregor
North Korea,13/4,North Korea's sixth nuclear test,North Korea,https://www.cnbc.com/2017/04/13/north-koreas-sixth-nuclear-test.html
Syria,7/4,Chemical Attack in Syria,Syria,https://www.diplomatie.gouv.fr/en/country-files/syria/events/article/chemical-attack-in-syria-4-april-2017-follow-the-reactions-of-france
Adolf Hitler ,20/4 ,Birthday,Austria,https://en.wikipedia.org/wiki/Adolf_Hitler
Albert Einstein,26/4,"Article appeared on National Geographic ,,Albert Einstein, Superstar""",Germany,https://www.nationalgeographic.com.au/science/albert-einstein-superstar.aspx
Sino-Roman relations ,18/4,Article appeared on Wikipedia,China,https://en.wikipedia.org/wiki/Talk%3ASino-Roman_relations
Carl Friedrich Gauss ,21/4,"Research was published ,,On Gauss’s First Proof of
the Fundamental Theorem of Algebra"" by Soham Basu and Daniel J. Velleman",America,https://arxiv.org/pdf/1704.06585.pdf
Bette Davis ,24/4,"Miss Davis was honored by the Film Society of Lincoln Center at its annual tribute, joining the company of such previous honorees as Sir Laurence Olivier and Charlie Chaplin",America,https://www.nytimes.com/1989/10/08/obituaries/bette-davis-a-queen-of-hollywood-dies-at-81.html
"Gibraltar 
",3/4,"BBC Aricle ,,Gibraltar Brexit row""",United Kingdom,https://www.bbc.com/news/United Kingdom-politics-39478636
"Columbine High School massacre 
",20/4,School shooting,America,https://en.wikipedia.org/wiki/Columbine_High_School_massacre
